year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pass_attempts,pass_completions,pass_yards,pass_touchdowns,pass_interceptions,pass_2points,rush_attempts,rush_yards,rush_touchdowns,rush_2points,receptions,reception_yards,reception_touchdowns,reception_2points,fumbles_lost,fumble_recovery_touchdowns
2015,3,TE,greg-olsen-olsengr01,Greg Olsen,CAR,NO,home,25.00,0,0,0,0,0,0,0,0,0,0,8,134,2,0,0,0
2015,3,TE,gary-barnidge-barniga01,Gary Barnidge,CLE,OAK,home,16.00,0,0,0,0,0,0,0,0,0,0,6,105,1,0,0,0
2015,3,TE,charles-clay-claych01,Charles Clay,BUF,MIA,away,14.00,0,0,0,0,0,0,0,0,0,0,5,82,1,0,0,0
2015,3,TE,jimmy-graham-grahaji01,Jimmy Graham,SEA,CHI,home,14.00,0,0,0,0,0,0,0,0,0,0,7,83,1,0,0,0
2015,3,TE,rob-gronkowski-gronkro01,Rob Gronkowski,NE,JAX,home,10.00,0,0,0,0,0,0,0,0,0,0,4,101,0,0,0,0
2015,3,TE,clay-harbor-harbocl01,Clay Harbor,JAX,NE,away,10.00,0,0,0,0,0,0,0,0,0,0,3,43,1,0,0,0
2015,3,TE,travis-kelce-kelcetr01,Travis Kelce,KC,GB,away,10.00,0,0,0,0,0,0,0,0,0,0,6,80,0,1,0,0
2015,3,TE,jordan-reed-reedjo03,Jordan Reed,WAS,NYG,away,9.00,0,0,0,0,0,0,0,0,0,0,6,96,0,0,0,0
2015,3,TE,owen-daniels-danieow01,Owen Daniels,DEN,DET,away,8.00,0,0,0,0,0,0,0,0,0,0,5,28,1,0,0,0
2015,3,TE,eric-ebron-ebroner01,Eric Ebron,DET,DEN,home,6.00,0,0,0,0,0,0,0,0,0,0,4,61,0,0,0,0
2015,3,TE,delanie-walker-walkede04,Delanie Walker,TEN,IND,home,6.00,0,0,0,0,0,0,0,0,0,0,7,68,0,0,0,0
2015,3,TE,jason-witten-witteja01,Jason Witten,DAL,ATL,home,6.00,0,0,0,0,0,0,0,0,0,0,6,65,0,0,0,0
2015,3,TE,coby-fleener-fleenco01,Coby Fleener,IND,TEN,away,5.00,0,0,0,0,0,0,0,0,0,0,4,51,0,0,0,0
2015,3,TE,crockett-gillmore-gillmcr01,Crockett Gillmore,BAL,CIN,home,4.00,0,0,0,0,0,0,0,0,0,0,3,40,0,0,0,0
2015,3,TE,maxx-williams-willima22,Maxx Williams,BAL,CIN,home,4.00,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,0
2015,3,TE,larry-donnell-donnela01,Larry Donnell,NYG,WAS,home,3.00,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
2015,3,TE,jack-doyle-doyleja01,Jack Doyle,IND,TEN,away,3.00,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
2015,3,TE,zach-ertz-ertzza01,Zach Ertz,PHI,NYJ,away,3.00,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0
2015,3,TE,jermaine-gresham-greshje01,Jermaine Gresham,ARI,SF,home,3.00,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0
