year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pat_attempts,pat_made,field_goal_att,field_goal_made,field_goal_made_50_yards
2016,12,K,justin-tucker-tuckeju01,Justin Tucker,BAL,CIN,home,19.00,1,1,4,4,3
2016,12,K,stephen-gostkowski-gostkst01,Stephen Gostkowski,NE,NYJ,away,10.00,1,1,4,3,0
2016,12,K,matt-prater-pratema01,Matt Prater,DET,MIN,home,10.00,1,1,3,3,0
2016,12,K,chandler-catanzaro-catanch01,Chandler Catanzaro,ARI,ATL,away,9.00,1,1,2,2,1
2016,12,K,mason-crosby-crosbma01,Mason Crosby,GB,PHI,away,9.00,3,3,2,2,0
2016,12,K,sebastian-janikowski-janikse01,Sebastian Janikowski,OAK,CAR,home,9.00,3,3,2,2,0
2016,12,K,brandon-mcmanus-mcmanbr01,Brandon McManus,DEN,KC,home,9.00,3,3,3,2,0
2016,12,K,caleb-sturgis-sturgca01,Caleb Sturgis,PHI,GB,home,9.00,1,1,2,2,1
2016,12,K,ryan-succop-succory01,Ryan Succop,TEN,CHI,away,9.00,3,3,2,2,0
2016,12,K,matt-bryant-bryanma01,Matt Bryant,ATL,ARI,home,8.00,5,5,1,1,0
2016,12,K,dustin-hopkins-hopkidu01,Dustin Hopkins,WAS,DAL,away,8.00,2,2,4,2,0
2016,12,K,cairo-santos-santoca01,Cairo Santos,KC,DEN,away,8.00,2,2,2,2,0
2016,12,K,dan-bailey-baileda04,Dan Bailey,DAL,WAS,home,7.00,4,4,1,1,0
2016,12,K,nick-folk-folkni01,Nick Folk,NYJ,NE,home,7.00,2,2,2,1,1
2016,12,K,kai-forbath-forbaka01,Kai Forbath,MIN,DET,away,7.00,1,1,2,2,0
2016,12,K,andrew-franks-frankan02,Andrew Franks,MIA,SF,home,7.00,4,4,1,1,0
2016,12,K,wil-lutz-lutzwi01,Wil Lutz,LA,NO,away,7.00,7,7,0,0,0
2016,12,K,nick-novak-novakni01,Nick Novak,HOU,SD,home,7.00,1,1,2,2,0
2016,12,K,cody-parkey-parkeco02,Cody Parkey,CLE,NYG,home,7.00,1,1,2,2,0
2016,12,K,phil-dawson-dawsoph01,Phil Dawson,SF,MIA,away,6.00,3,3,1,1,0
2016,12,K,mike-nugent-nugenmi01,Mike Nugent,CIN,BAL,away,6.00,1,0,2,2,0
2016,12,K,chris-boswell-boswech01,Chris Boswell,PIT,IND,away,4.00,4,4,0,0,0
2016,12,K,connor-barth-barthco01,Connor Barth,CHI,TEN,home,3.00,3,3,0,0,0
2016,12,K,robbie-gould-gouldro01,Robbie Gould,NYG,CLE,away,3.00,4,3,0,0,0
2016,12,K,stephen-hauschka-hauscst01,Stephen Hauschka,SEA,TB,away,3.00,0,0,1,1,0
2016,12,K,josh-lambo-lambojo01,Josh Lambo,SD,HOU,away,3.00,3,3,1,0,0
2016,12,K,jason-myers-myersja02,Jason Myers,JAX,BUF,away,3.00,3,3,0,0,0
2016,12,K,greg-zuerlein-zuerlgr01,Greg Zuerlein,LA,NO,away,3.00,3,3,0,0,0
2016,12,K,roberto-aguayo-aguayro01,Roberto Aguayo,TB,SEA,home,2.00,2,2,1,0,0
2016,12,K,dan-carpenter-carpeda01,Dan Carpenter,BUF,JAX,home,2.00,3,2,0,0,0
2016,12,K,graham-gano-ganogr01,Graham Gano,CAR,OAK,away,2.00,3,2,0,0,0
2016,12,K,adam-vinatieri-vinatad01,Adam Vinatieri,IND,PIT,home,1.00,1,1,1,0,0
