year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pass_attempts,pass_completions,pass_yards,pass_touchdowns,pass_interceptions,pass_2points,rush_attempts,rush_yards,rush_touchdowns,rush_2points,receptions,reception_yards,reception_touchdowns,reception_2points,fumbles_lost,fumble_recovery_touchdowns
2017,11,RB,lesean-mccoy-mccoyle02,LeSean McCoy,BUF,LAC,away,24.00,0,0,0,0,0,0,13,114,1,0,1,12,1,0,0,0
2017,11,RB,mark-ingram-ingrama02,Mark Ingram,NO,WAS,home,21.00,0,0,0,0,0,0,11,134,1,0,3,21,0,0,0,0
2017,11,RB,latavius-murray-murrala01,Latavius Murray,MIN,LA,home,21.00,0,0,0,0,0,0,15,95,2,0,1,1,0,0,0,0
2017,11,RB,donta-foreman-foremdo01,D'Onta Foreman,HOU,ARI,home,19.00,0,0,0,0,0,0,10,65,2,0,3,15,0,0,0,0
2017,11,RB,alvin-kamara-kamaral01,Alvin Kamara,NO,WAS,home,19.00,0,0,0,0,0,0,8,42,0,1,6,74,1,0,0,0
2017,11,RB,jordan-howard-howarjo02,Jordan Howard,CHI,DET,home,18.00,0,0,0,0,0,0,15,125,1,0,0,0,0,0,0,0
2017,11,RB,samaje-perine-perinsa01,Samaje Perine,WAS,NO,away,17.00,0,0,0,0,0,0,23,117,1,0,1,9,0,0,0,0
2017,11,RB,orleans-darkwa-darkwor01,Orleans Darkwa,NYG,KC,home,14.00,0,0,0,0,0,0,20,74,1,0,2,16,0,0,0,0
2017,11,RB,melvin-gordon-gordome01,Melvin Gordon,LAC,BUF,home,14.00,0,0,0,0,0,0,20,80,1,0,0,0,0,0,0,0
2017,11,RB,dion-lewis-lewisdi01,Dion Lewis,NE,OAK,away,14.00,0,0,0,0,0,0,10,60,0,0,4,28,1,0,0,0
2017,11,RB,lamar-miller-millela03,Lamar Miller,HOU,ARI,home,14.00,0,0,0,0,0,0,22,61,0,0,4,22,1,0,0,0
2017,11,RB,corey-clement-clemeco01,Corey Clement,PHI,DAL,away,13.00,0,0,0,0,0,0,6,50,1,1,0,0,0,0,0,0
2017,11,RB,alex-collins-collial01,Alex Collins,BAL,GB,away,12.00,0,0,0,0,0,0,20,49,1,0,4,22,0,0,0,0
2017,11,RB,duke-johnson-johnsdu02,Duke Johnson,CLE,JAX,home,12.00,0,0,0,0,0,0,2,10,0,0,4,56,1,0,0,0
2017,11,RB,tarik-cohen-cohenta01,Tarik Cohen,CHI,DET,home,11.00,0,0,0,0,0,0,9,44,1,0,4,15,0,0,0,0
2017,11,RB,tevin-coleman-colemte01,Tevin Coleman,ATL,SEA,away,11.00,0,0,0,0,0,0,20,43,1,0,1,15,0,0,0,0
2017,11,RB,austin-ekeler-ekeleau01,Austin Ekeler,LAC,BUF,home,11.00,0,0,0,0,0,0,6,40,1,0,2,18,0,0,0,0
2017,11,RB,leonard-fournette-fournle01,Leonard Fournette,JAX,CLE,away,11.00,0,0,0,0,0,0,28,111,0,0,2,7,0,0,0,0
2017,11,RB,jay-ajayi-ajayija01,Jay Ajayi,PHI,DAL,away,10.00,0,0,0,0,0,0,7,91,0,0,1,10,0,0,0,0
2017,11,RB,todd-gurley-gurleto02,Todd Gurley,LA,MIN,away,10.00,0,0,0,0,0,0,15,37,1,0,3,19,0,0,0,0
2017,11,RB,ameer-abdullah-abdulam01,Ameer Abdullah,DET,CHI,away,9.00,0,0,0,0,0,0,11,22,0,0,2,13,1,0,0,0
2017,11,RB,cj-anderson-andercj01,C.J. Anderson,DEN,CIN,home,9.00,0,0,0,0,0,0,13,37,1,0,2,19,0,0,1,0
2017,11,RB,leveon-bell-bellle02,Le'Veon Bell,PIT,TEN,home,9.00,0,0,0,0,0,0,12,46,0,0,9,57,0,0,0,0
2017,11,RB,devontae-booker-bookede02,Devontae Booker,DEN,CIN,home,9.00,0,0,0,0,0,0,14,44,0,0,5,54,0,0,0,0
2017,11,RB,alfred-morris-morrial02,Alfred Morris,DAL,PHI,home,9.00,0,0,0,0,0,0,17,91,0,0,0,0,0,0,0,0
2017,11,RB,damien-williams-willida20,Damien Williams,MIA,TB,home,9.00,0,0,0,0,0,0,10,78,0,0,1,24,0,0,0,0
2017,11,RB,kenjon-barner-barneke03,Kenjon Barner,PHI,DAL,away,8.00,0,0,0,0,0,0,1,4,1,0,1,22,0,0,0,0
2017,11,RB,chris-thompson-thompch05,Chris Thompson,WAS,NO,away,8.00,0,0,0,0,0,0,4,17,0,0,1,16,1,0,0,0
2017,11,RB,jamaal-williams-willija32,Jamaal Williams,GB,BAL,home,8.00,0,0,0,0,0,0,18,57,0,0,4,38,0,0,0,0
2017,11,RB,kareem-hunt-huntka01,Kareem Hunt,KC,NYG,away,7.00,0,0,0,0,0,0,18,73,0,0,3,4,0,0,0,0
2017,11,RB,marshawn-lynch-lynchma01,Marshawn Lynch,OAK,NE,home,7.00,0,0,0,0,0,0,11,67,0,0,1,10,0,0,0,0
2017,11,RB,legarrette-blount-blounle01,LeGarrette Blount,PHI,DAL,away,5.00,0,0,0,0,0,0,13,57,0,0,0,0,0,0,0,0
2017,11,RB,mike-davis-davismi08,Mike Davis,SEA,ATL,home,5.00,0,0,0,0,0,0,6,18,0,0,2,41,0,0,0,0
2017,11,RB,jerick-mckinnon-mckinje02,Jerick McKinnon,MIN,LA,home,5.00,0,0,0,0,0,0,14,48,0,0,5,12,0,0,0,0
2017,11,RB,jd-mckissic-mckisjd01,J.D. McKissic,SEA,ATL,home,5.00,0,0,0,0,0,0,7,30,0,0,5,23,0,0,0,0
2017,11,RB,travaris-cadet-cadettr01,Travaris Cadet,BUF,LAC,away,4.00,0,0,0,0,0,0,3,17,0,0,6,39,0,0,0,0
2017,11,RB,joe-mixon-mixonjo01,Joe Mixon,CIN,DEN,away,4.00,0,0,0,0,0,0,20,49,0,0,2,0,0,0,0,0
2017,11,RB,demarco-murray-murrade01,DeMarco Murray,TEN,PIT,away,4.00,0,0,0,0,0,0,8,10,0,0,5,37,0,0,0,0
2017,11,RB,cordarrelle-patterson-patteco01,Cordarrelle Patterson,OAK,NE,home,4.00,0,0,0,0,0,0,0,0,0,0,4,45,0,0,0,0
2017,11,RB,terron-ward-wardte02,Terron Ward,ATL,SEA,away,4.00,0,0,0,0,0,0,6,31,0,0,1,11,0,0,0,0
2017,11,RB,rex-burkhead-burkhre01,Rex Burkhead,NE,OAK,away,3.00,0,0,0,0,0,0,5,16,0,0,4,21,0,0,0,0
2017,11,RB,derrick-henry-henryde01,Derrick Henry,TEN,PIT,away,3.00,0,0,0,0,0,0,7,32,0,0,0,0,0,0,0,0
