year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pass_attempts,pass_completions,pass_yards,pass_touchdowns,pass_interceptions,pass_2points,rush_attempts,rush_yards,rush_touchdowns,rush_2points,receptions,reception_yards,reception_touchdowns,reception_2points,fumbles_lost,fumble_recovery_touchdowns
2018,3,WR,calvin-ridley-ridleca01,Calvin Ridley,ATL,NO,home,32.00,0,0,0,0,0,0,1,9,0,0,7,146,3,0,0,0
2018,3,WR,jordy-nelson-nelsojo01,Jordy Nelson,OAK,MIA,away,23.00,0,0,0,0,0,0,0,0,0,0,6,173,1,0,0,0
2018,3,WR,robert-woods-woodsro06,Robert Woods,LA,LAC,home,23.00,0,0,0,0,0,0,3,13,0,0,10,104,2,0,0,0
2018,3,WR,albert-wilson-wilsoal02,Albert Wilson,MIA,OAK,home,21.00,1,1,52,1,0,0,0,0,0,0,2,74,1,0,0,0
2018,3,WR,mike-williams-willimi21,Mike Williams,LAC,LA,away,20.00,0,0,0,0,0,0,0,0,0,0,4,81,2,0,0,0
2018,3,WR,tyler-boyd-boydty01,Tyler Boyd,CIN,CAR,away,19.00,0,0,0,0,0,0,1,5,0,0,6,132,1,0,0,0
2018,3,WR,mike-evans-evansmi03,Mike Evans,TB,PIT,home,19.00,0,0,0,0,0,0,0,0,0,0,6,137,1,0,0,0
2018,3,WR,jakeem-grant-grantja01,Jakeem Grant,MIA,OAK,home,19.00,0,0,0,0,0,0,0,0,0,0,2,70,2,0,0,0
2018,3,WR,will-fuller-fullewi02,Will Fuller,HOU,NYG,home,16.00,0,0,0,0,0,0,0,0,0,0,5,101,1,0,0,0
2018,3,WR,sterling-shepard-shepast01,Sterling Shepard,NYG,HOU,away,14.00,0,0,0,0,0,0,0,0,0,0,6,80,1,0,0,0
2018,3,WR,geronimo-allison-allisge01,Geronimo Allison,GB,WAS,away,13.00,0,0,0,0,0,0,0,0,0,0,2,76,1,0,0,0
2018,3,WR,cooper-kupp-kuppco01,Cooper Kupp,LA,LAC,home,13.00,0,0,0,0,0,0,1,-3,0,0,4,71,1,0,0,0
2018,3,WR,tyler-lockett-lockety01,Tyler Lockett,SEA,DAL,home,13.00,0,0,0,0,0,0,1,5,0,0,4,77,1,0,0,0
2018,3,WR,sammy-watkins-watkisa01,Sammy Watkins,KC,SF,home,13.00,0,0,0,0,0,0,2,20,0,0,5,55,1,0,0,0
2018,3,WR,devin-funchess-funchde01,Devin Funchess,CAR,CIN,home,12.00,0,0,0,0,0,0,0,0,0,0,4,67,1,0,0,0
2018,3,WR,chris-godwin-godwich01,Chris Godwin,TB,PIT,home,12.00,0,0,0,0,0,0,0,0,0,0,5,74,1,0,1,0
2018,3,WR,marvin-jones-jonesma08,Marvin Jones,DET,NE,home,12.00,0,0,0,0,0,0,0,0,0,0,4,69,1,0,0,0
2018,3,WR,jarvis-landry-landrja02,Jarvis Landry,NYJ,CLE,away,12.00,0,0,0,0,0,1,0,0,0,0,8,103,0,0,0,0
2018,3,WR,emmanuel-sanders-sandeem01,Emmanuel Sanders,DEN,BAL,away,12.00,0,0,0,0,0,0,1,35,1,0,5,38,0,0,0,0
2018,3,WR,kenny-stills-stillke02,Kenny Stills,MIA,OAK,home,12.00,0,0,0,0,0,0,0,0,0,0,3,61,1,0,0,0
2018,3,WR,michael-thomas-thomami05,Michael Thomas,NO,ATL,away,12.00,0,0,0,0,0,0,0,0,0,0,10,129,0,0,0,0
2018,3,WR,davante-adams-adamsda04,Davante Adams,GB,WAS,away,11.00,0,0,0,0,0,0,0,0,0,0,7,52,1,0,0,0
2018,3,WR,antonio-brown-brownan05,Antonio Brown,PIT,TB,away,11.00,0,0,0,0,0,0,0,0,0,0,6,50,1,0,0,0
2018,3,WR,kenny-golladay-gollake01,Kenny Golladay,DET,NE,home,11.00,0,0,0,0,0,0,0,0,0,0,6,53,1,0,0,0
2018,3,WR,mohamed-sanu-sanumo01,Mohamed Sanu,ATL,NO,home,11.00,0,0,0,0,0,0,0,0,0,0,4,36,1,1,0,0
2018,3,WR,juju-smithschuster-smithju03,JuJu Smith-Schuster,PIT,TB,away,11.00,0,0,0,0,0,0,0,0,0,0,9,116,0,0,0,0
2018,3,WR,odell-beckham-beckhod01,Odell Beckham Jr.,NYG,HOU,away,10.00,0,0,0,0,0,0,1,0,0,0,9,109,0,0,0,0
2018,3,WR,paul-richardson-richapa02,Paul Richardson,WAS,GB,home,10.00,0,0,0,0,0,0,0,0,0,0,1,46,1,0,0,0
2018,3,WR,adam-thielen-thielad01,Adam Thielen,MIN,BUF,home,10.00,0,0,0,0,0,0,0,0,0,0,14,105,0,0,0,0
2018,3,WR,brandin-cooks-cooksbr01,Brandin Cooks,LA,LAC,home,9.00,0,0,0,0,0,0,0,0,0,0,7,90,0,0,0,0
2018,3,WR,jamison-crowder-crowdja01,Jamison Crowder,WAS,GB,home,9.00,0,0,0,0,0,0,1,6,0,0,4,39,1,0,0,0
2018,3,WR,ted-ginn-ginnte01,Ted Ginn Jr.,NO,ATL,away,9.00,0,0,0,0,0,0,1,20,0,0,3,12,1,0,0,0
2018,3,WR,marquise-goodwin-goodwma02,Marquise Goodwin,SF,KC,away,9.00,0,0,0,0,0,0,1,-2,0,0,3,30,1,0,0,0
2018,3,WR,ryan-grant-grantry02,Ryan Grant,IND,PHI,away,9.00,0,0,0,0,0,0,0,0,0,0,3,35,1,0,0,0
2018,3,WR,julio-jones-jonesju05,Julio Jones,ATL,NO,home,9.00,0,0,0,0,0,0,0,0,0,0,5,96,0,0,0,0
2018,3,WR,christian-kirk-kirkch01,Christian Kirk,ARI,CHI,home,9.00,0,0,0,0,0,0,0,0,0,0,7,90,0,0,0,0
2018,3,WR,jaron-brown-brownja12,Jaron Brown,SEA,DAL,home,8.00,0,0,0,0,0,0,0,0,0,0,2,25,1,0,0,0
2018,3,WR,john-brown-brownjo10,John Brown,BAL,DEN,home,8.00,0,0,0,0,0,0,0,0,0,0,5,86,0,0,0,0
2018,3,WR,deandre-hopkins-hopkide01,DeAndre Hopkins,HOU,NYG,home,8.00,0,0,0,0,0,0,0,0,0,0,6,86,0,0,0,0
2018,3,WR,tavon-austin-austita01,Tavon Austin,DAL,SEA,away,7.00,0,0,0,0,0,0,1,18,0,0,3,2,1,0,0,0
2018,3,WR,chris-conley-conlech01,Chris Conley,KC,SF,home,7.00,0,0,0,0,0,0,0,0,0,0,2,13,1,0,0,0
2018,3,WR,cameron-meredith-meredca01,Cameron Meredith,NO,ATL,away,7.00,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0
2018,3,WR,michael-crabtree-crabtmi01,Michael Crabtree,DEN,BAL,away,6.00,0,0,0,0,0,0,0,0,0,0,7,61,0,0,0,0
2018,3,WR,ryan-switzer-switzry01,Ryan Switzer,PIT,TB,away,6.00,0,0,0,0,0,0,0,0,0,0,3,9,1,0,0,0
2018,3,WR,golden-tate-tatego02,Golden Tate,NE,DET,away,6.00,0,0,0,0,0,0,0,0,0,0,6,69,0,0,0,0
2018,3,WR,demaryius-thomas-thomade05,Demaryius Thomas,DEN,BAL,away,6.00,0,0,0,0,0,0,0,0,0,0,5,63,0,0,0,0
2018,3,WR,quincy-enunwa-enunwqu01,Quincy Enunwa,NYJ,CLE,away,5.00,0,0,0,0,0,0,0,0,0,0,4,57,0,0,0,0
2018,3,WR,aj-green-greenaj02,A.J. Green,CIN,CAR,away,5.00,0,0,0,0,0,0,0,0,0,0,5,58,0,0,0,0
2018,3,WR,tyreek-hill-hillty02,Tyreek Hill,KC,SF,home,5.00,0,0,0,0,0,0,2,5,0,0,2,51,0,0,0,0
2018,3,WR,ty-hilton-hiltoty01,T.Y. Hilton,IND,PHI,away,5.00,0,0,0,0,0,0,0,0,0,0,5,50,0,0,0,0
2018,3,WR,ty-montgomery-montgty02,Ty Montgomery,GB,WAS,away,5.00,0,0,0,0,0,0,4,16,0,0,6,49,0,0,0,0
2018,3,WR,allen-robinson-robinal04,Allen Robinson,CHI,ARI,away,5.00,0,0,0,0,0,0,0,0,0,0,3,50,0,0,0,0
2018,3,WR,danny-amendola-amendda01,Danny Amendola,MIA,OAK,home,4.00,0,0,0,0,0,0,0,0,0,0,3,42,0,0,0,0
2018,3,WR,cole-beasley-beaslco01,Cole Beasley,DAL,SEA,away,4.00,0,0,0,0,0,0,0,0,0,0,3,46,0,0,0,0
2018,3,WR,keelan-cole-coleke01,Keelan Cole,JAX,TEN,home,4.00,0,0,0,0,0,0,0,0,0,0,5,40,0,0,0,0
2018,3,WR,devante-parker-parkede02,DeVante Parker,MIA,OAK,home,4.00,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0
2018,3,WR,keenan-allen-allenke03,Keenan Allen,LAC,LA,away,3.00,0,0,0,0,0,0,0,0,0,0,3,44,0,0,1,0
2018,3,WR,martavis-bryant-bryanma02,Martavis Bryant,OAK,MIA,away,3.00,0,0,0,0,0,0,1,4,0,0,2,30,0,0,0,0
2018,3,WR,corey-davis-davisco05,Corey Davis,TEN,JAX,away,3.00,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0
2018,3,WR,taylor-gabriel-gabrita01,Taylor Gabriel,CHI,ARI,away,3.00,0,0,0,0,0,0,0,0,0,0,6,34,0,0,0,0
2018,3,WR,rashard-higgins-higgira01,Rashard Higgins,CLE,NYJ,home,3.00,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
2018,3,WR,chris-hogan-hoganch02,Chris Hogan,NE,DET,away,3.00,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
2018,3,WR,adam-humphries-humphad01,Adam Humphries,TB,PIT,home,3.00,0,0,0,0,0,0,1,4,0,0,3,30,0,0,0,0
2018,3,WR,desean-jackson-jacksde02,DeSean Jackson,TB,PIT,home,3.00,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0
2018,3,WR,jermaine-kearse-kearsje02,Jermaine Kearse,NYJ,CLE,away,3.00,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0
2018,3,WR,brandon-marshall-marshbr01,Brandon Marshall,DAL,SEA,away,3.00,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0
2018,3,WR,anthony-miller-millean04,Anthony Miller,CHI,ARI,away,3.00,0,0,0,0,0,0,0,0,0,0,4,35,0,0,0,0
2018,3,WR,willie-snead-sneadwi02,Willie Snead,BAL,DEN,home,3.00,0,0,0,0,0,0,0,0,0,0,3,39,0,0,0,0
2018,3,WR,courtland-sutton-suttoco01,Courtland Sutton,DEN,BAL,away,3.00,0,0,0,0,0,0,0,0,0,0,2,37,0,0,0,0
2018,3,WR,taywan-taylor-taylota02,Taywan Taylor,TEN,JAX,away,3.00,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0
2018,3,WR,laquon-treadwell-treadla01,Laquon Treadwell,MIN,BUF,home,3.00,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0
2018,3,WR,dede-westbrook-westbde01,Dede Westbrook,JAX,TEN,home,3.00,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
2018,3,WR,tyrell-williams-willity04,Tyrell Williams,LAC,LA,away,3.00,0,0,0,0,0,0,1,14,0,0,2,22,0,0,0,0
2018,3,WR,nelson-agholor-agholne01,Nelson Agholor,PHI,IND,home,2.00,0,0,0,0,0,0,0,0,0,0,4,24,0,0,0,0
2018,3,WR,kelvin-benjamin-benjake01,Kelvin Benjamin,BUF,MIN,away,2.00,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
2018,3,WR,kendrick-bourne-bournke01,Kendrick Bourne,SF,KC,away,2.00,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0
2018,3,WR,antonio-callaway-callaan01,Antonio Callaway,CLE,NYJ,home,2.00,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0
2018,3,WR,austin-carr-carrau01,Austin Carr,NO,ATL,away,2.00,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0
2018,3,WR,andre-holmes-holmean02,Andre Holmes,BUF,MIN,away,2.00,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
2018,3,WR,allen-hurns-hurnsal01,Allen Hurns,DAL,SEA,away,2.00,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
2018,3,WR,jordan-matthews-matthjo02,Jordan Matthews,PHI,IND,home,2.00,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
2018,3,WR,terrelle-pryor-pryorte01,Terrelle Pryor,NYJ,CLE,away,2.00,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0
